IndividualNum,FID,IID,PAT,MAT,SEX,PHENOTYPE,seed01,seed02,FeatureNum,SizeNum,OutliersFraction,Class_true,pred_lof,pred_KNN_lar,pred_IForest,pred_vote
554,PIT,PIT1_19_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
563,PIT,PIT2_33_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
592,PIT,PIT3_10_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
610,UKBS,UKBS_19_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
611,UKBS,UKBS_20_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
612,UKBS,UKBS_21_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
609,UKBS,UKBS_18_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
614,UKBS,UKBS_23_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
608,UKBS,UKBS_17_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
615,UKBS,UKBS_24_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
616,UKBS,UKBS_25_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
617,UKBS,UKBS_26_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
618,UKBS,UKBS_27_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
613,UKBS,UKBS_22_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
607,UKBS,UKBS_16_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
620,UKBS,UKBS_29_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
605,UKBS,UKBS_14_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
604,UKBS,UKBS_13_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
603,UKBS,UKBS_12_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
602,UKBS,UKBS_11_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
601,UKBS,UKBS_10_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
619,UKBS,UKBS_28_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
606,UKBS,UKBS_15_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
652,WZS,WZS33,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
621,WZS,WZS01,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
623,WZS,WZS03,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
625,WZS,WZS05,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
643,WZS,WZS23,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
648,WZS,WZS29,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
