TableNum,TestNum,TestLabel,TestID,Seed01,Seed02,TestScale,OutliersFraction,KFold,FeatureMethod,SizeNum,FeatureNum,AD_True,AD_LOF,AD_KNN_lar,AD_IForest,AD_Vote,KNN,RF,SVM,nnet,NB,C50,MLR,Stacking01,Stacking02,MetaModel01,MetaModel02,KNN_Time,NB_Time,RF_Time,SVM_Time,C50_Time,nnet_Time,MLR_Time,Stacking01_Time,Stacking02_Time
1,310,LDR,LDR2_15_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,325,LDR,LDR3_15_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,327,LDR,LDR4_6_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,331,LDR,LDR4_11_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,332,LDR,LDR4_12_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,DHB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,334,LDR,LDR4_15_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,ITWB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,343,LDR,LDR4_31_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,DHB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,345,LDR,LDR4_35_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,DHB,ITWB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,346,LDR,LDR5_1_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,349,LDR,LDR5_5_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,354,LDR,LDR5_12_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LWT,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,356,LDR,LDR5_18_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,PIT,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,360,LDR,LDR5_23_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,361,LDR,LDR5_24_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,368,LDR,LDR6_4_M,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,378,LDR,LDR6_19_M,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,386,LDR,LDR7_18_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,402,LDR,LDR7_53_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,438,LWT,LWT1_5_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,442,LWT,LWT1_9_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
